Symbol,base_currency,quote_currency,quote_increment,base_increment,display_name,min_market_funds,margin_enabled,post_only,limit_only,cancel_only,status,status_message,trading_disabled,fx_stablecoin,max_slippage_percentage,auction_mode
ATOM-EUR,ATOM,EUR,0.01,0.001,ATOM/EUR,0.84,False,False,False,False,online,,False,False,0.03000000,False
ATOM-GBP,ATOM,GBP,0.01,0.001,ATOM/GBP,0.72,False,False,False,False,online,,False,False,0.03000000,False
ATOM-USD,ATOM,USD,0.001,0.01,ATOM/USD,1,False,False,False,False,online,,False,False,0.03000000,False
ATOM-USDT,ATOM,USDT,0.01,0.001,ATOM/USDT,1,False,False,False,False,online,,False,False,0.03000000,False
AUCTION-EUR,AUCTION,EUR,0.01,0.001,AUCTION/EUR,0.84,False,False,False,False,online,,False,False,0.03000000,False
AUCTION-USD,AUCTION,USD,0.01,0.001,AUCTION/USD,1,False,False,False,False,online,,False,False,0.03000000,False
AUCTION-USDT,AUCTION,USDT,0.01,0.001,AUCTION/USDT,1,False,False,False,False,online,,False,False,0.03000000,False
AVAX-BTC,AVAX,BTC,0.00000001,0.001,AVAX/BTC,0.000016,False,False,False,False,online,,False,False,0.03000000,False
AVAX-EUR,AVAX,EUR,0.01,0.001,AVAX/EUR,0.84,False,False,False,False,online,,False,False,0.03000000,False
AVAX-USD,AVAX,USD,0.01,0.001,AVAX/USD,1,False,False,False,False,online,,False,False,0.03000000,False
AVAX-USDT,AVAX,USDT,0.01,0.001,AVAX/USDT,1,False,False,False,False,online,,False,False,0.03000000,False
AVT-USD,AVT,USD,0.01,0.01,AVT/USD,1,False,False,False,False,online,,False,False,0.03000000,False
AXS-BTC,AXS,BTC,0.0000001,0.001,AXS/BTC,0.000016,False,False,False,False,online,,False,False,0.03000000,False
AXS-EUR,AXS,EUR,0.01,0.001,AXS/EUR,0.84,False,False,False,False,online,,False,False,0.03000000,False
AXS-USD,AXS,USD,0.01,0.001,AXS/USD,1,False,False,False,False,online,,False,False,0.03000000,False
AXS-USDT,AXS,USDT,0.01,0.001,AXS/USDT,1,False,False,False,False,online,,False,False,0.03000000,False
BADGER-EUR,BADGER,EUR,0.01,0.001,BADGER/EUR,0.84,False,False,False,False,online,,False,False,0.03000000,False
BADGER-USD,BADGER,USD,0.01,0.001,BADGER/USD,1,False,False,False,False,online,,False,False,0.03000000,False
BADGER-USDT,BADGER,USDT,0.01,0.001,BADGER/USDT,1,False,False,False,False,online,,False,False,0.03000000,False
BAL-BTC,BAL,BTC,0.00000001,0.01,BAL/BTC,0.000016,False,False,False,False,online,,False,False,0.03000000,False
BAL-USD,BAL,USD,0.01,0.001,BAL/USD,1,False,False,False,False,online,,False,False,0.03000000,False
BAND-BTC,BAND,BTC,0.00000001,0.01,BAND/BTC,0.000016,False,False,False,False,online,,False,False,0.03000000,False
BAND-EUR,BAND,EUR,0.01,0.01,BAND/EUR,0.84,False,False,False,False,online,,False,False,0.03000000,False
BAND-GBP,BAND,GBP,0.001,0.01,BAND/GBP,0.72,False,False,False,False,online,,False,False,0.03000000,False
BAND-USD,BAND,USD,0.001,0.01,BAND/USD,1,False,False,False,False,online,,False,False,0.03000000,False
BAT-BTC,BAT,BTC,0.00000001,0.01,BAT/BTC,0.000016,False,False,False,False,online,,False,False,0.03000000,False
BAT-ETH,BAT,ETH,0.0000001,1,BAT/ETH,0.00022,False,False,False,False,online,,False,False,0.03000000,False
BAT-EUR,BAT,EUR,0.001,0.01,BAT/EUR,0.84,False,False,False,False,online,,False,False,0.03000000,False
BAT-USD,BAT,USD,0.001,0.01,BAT/USD,1,False,False,False,False,online,,False,False,0.03000000,False
BAT-USDC,BAT,USDC,0.000001,1,BAT/USDC,1,False,False,False,False,delisted,,True,False,0.03000000,False
BCH-BTC,BCH,BTC,0.000001,0.00000001,BCH/BTC,0.00001,False,False,False,False,online,,False,False,0.03000000,False
BCH-EUR,BCH,EUR,0.01,0.00000001,BCH/EUR,0.84,False,False,False,False,online,,False,False,0.03000000,False
BCH-GBP,BCH,GBP,0.01,0.00000001,BCH/GBP,0.72,False,False,False,False,online,,False,False,0.03000000,False
BCH-USD,BCH,USD,0.01,0.00000001,BCH/USD,1,False,False,False,False,online,,False,False,0.03000000,False
BICO-EUR,BICO,EUR,0.0001,0.01,BICO/EUR,1,False,False,False,False,online,,False,False,0.03000000,False
BICO-USD,BICO,USD,0.0001,0.01,BICO/USD,1,False,False,False,False,online,,False,False,0.03000000,False
BICO-USDT,BICO,USDT,0.0001,0.01,BICO/USDT,1,False,False,False,False,online,,False,False,0.03000000,False
BIT-USD,BIT,USD,0.0001,0.01,BIT/USD,1,False,False,False,False,online,,False,False,0.03000000,False
BIT-USDT,BIT,USDT,0.0001,0.01,BIT/USDT,1,False,False,True,False,online,,False,False,0.03000000,False
BLZ-USD,BLZ,USD,0.0001,0.1,BLZ/USD,1,False,False,False,False,online,,False,False,0.03000000,False
BNT-BTC,BNT,BTC,0.00000001,1,BNT/BTC,0.000016,False,False,False,False,online,,False,False,0.03000000,False
BNT-EUR,BNT,EUR,0.001,0.000001,BNT/EUR,0.84,False,False,False,False,online,,False,False,0.03000000,False
BNT-GBP,BNT,GBP,0.0001,0.000001,BNT/GBP,0.72,False,False,False,False,online,,False,False,0.03000000,False
BNT-USD,BNT,USD,0.0001,0.000001,BNT/USD,1,False,False,False,False,online,,False,False,0.03000000,False
BOBA-USD,BOBA,USD,0.0001,0.1,BOBA/USD,1,False,False,False,False,online,,False,False,0.03000000,False
BOND-USD,BOND,USD,0.01,0.001,BOND/USD,1,False,False,False,False,online,,False,False,0.03000000,False
BTC-EUR,BTC,EUR,0.01,0.00000001,BTC/EUR,0.84,False,False,False,False,online,,False,False,0.03000000,False
BTC-GBP,BTC,GBP,0.01,0.00000001,BTC/GBP,0.72,False,False,False,False,online,,False,False,0.03000000,False
BTC-USD,BTC,USD,0.01,0.00000001,BTC/USD,1,False,False,False,False,online,,False,False,0.02000000,False
BTC-USDC,BTC,USDC,1,0.00000001,BTC/USDC,1,False,False,False,False,delisted,,True,False,0.03000000,False
BTC-USDT,BTC,USDT,0.01,0.00000001,BTC/USDT,1,False,False,False,False,online,,False,False,0.03000000,False
BTRST-BTC,BTRST,BTC,0.00000001,0.01,BTRST/BTC,0.000016,False,False,False,False,online,,False,False,0.03000000,False
BTRST-EUR,BTRST,EUR,0.01,0.01,BTRST/EUR,0.84,False,False,False,False,online,,False,False,0.03000000,False
BTRST-GBP,BTRST,GBP,0.001,0.01,BTRST/GBP,0.72,False,False,False,False,online,,False,False,0.03000000,False
BTRST-USD,BTRST,USD,0.001,0.01,BTRST/USD,1,False,False,False,False,online,,False,False,0.03000000,False
BTRST-USDT,BTRST,USDT,0.001,0.01,BTRST/USDT,1,False,False,False,False,online,,False,False,0.03000000,False
BUSD-USD,BUSD,USD,0.001,0.01,BUSD/USD,1,False,False,True,False,online,,False,True,0.01000000,False
C98-USD,C98,USD,0.0001,0.01,C98/USD,1,False,False,False,False,online,,False,False,0.03000000,False
C98-USDT,C98,USDT,0.0001,0.01,C98/USDT,1,False,False,True,False,online,,False,False,0.03000000,False
CGLD-BTC,CGLD,BTC,0.00000001,0.01,CGLD/BTC,0.000016,False,False,False,False,online,,False,False,0.03000000,False
CGLD-EUR,CGLD,EUR,0.01,0.01,CGLD/EUR,0.84,False,False,False,False,online,,False,False,0.03000000,False
CGLD-GBP,CGLD,GBP,0.001,0.01,CGLD/GBP,0.72,False,False,False,False,online,,False,False,0.03000000,False
CGLD-USD,CGLD,USD,0.001,0.01,CGLD/USD,1,False,False,False,False,online,,False,False,0.03000000,False
